url,filename,points,Abstraction,Parallelism,Logic,Synchronization,Flow control,User interactivity,Data representation,Math operators,Motion operators,DuplicateScripts,DeadCode,SpriteNaming,BackdropNaming,Error,dashboard_mode,Van points,Van Abstraction,Van Parallelism,Van Logic,Van Synchronization,Van Flow control,Van User interactivity,Van Data representation,tot_blocks
,277483505.sb3,17,1/4,0/4,4/4,2/4,1/4,2/4,4/4,3/4,0/4,0,12,0,0,None,Default,12,1/3,0/3,3/3,2/3,1/3,2/3,3/3,109
,287070624.sb3,16,1/4,4/4,1/4,1/4,2/4,3/4,4/4,0/4,0/4,0,0,0,1,None,Default,14,1/3,3/3,1/3,1/3,2/3,3/3,3/3,162
,277012288.sb3,16,1/4,4/4,0/4,3/4,2/4,1/4,2/4,0/4,3/4,0,0,1,0,None,Default,12,1/3,3/3,0/3,3/3,2/3,1/3,2/3,121
,304555572.sb3,17,1/4,1/4,3/4,3/4,2/4,2/4,4/4,0/4,1/4,0,2,0,3,None,Default,15,1/3,1/3,3/3,3/3,2/3,2/3,3/3,104
,302859546.sb3,14,3/4,3/4,0/4,1/4,2/4,1/4,1/4,2/4,1/4,0,0,0,0,None,Default,11,3/3,3/3,0/3,1/3,2/3,1/3,1/3,73
,305175547.sb3,19,1/4,1/4,3/4,2/4,2/4,2/4,4/4,0/4,4/4,0,0,0,1,None,Default,14,1/3,1/3,3/3,2/3,2/3,2/3,3/3,322
,261706089.sb3,17,1/4,4/4,0/4,4/4,4/4,1/4,2/4,0/4,1/4,0,1,14,3,None,Default,13,1/3,3/3,0/3,3/3,3/3,1/3,2/3,521
,286065460.sb3,14,1/4,1/4,3/4,0/4,2/4,1/4,4/4,1/4,1/4,0,0,1,0,None,Default,11,1/3,1/3,3/3,0/3,2/3,1/3,3/3,18
,281502125.sb3,25,4/4,4/4,2/4,3/4,3/4,2/4,4/4,0/4,3/4,0,30,6,2,None,Default,19,3/3,3/3,2/3,3/3,3/3,2/3,3/3,475
,280805182.sb3,12,1/4,4/4,0/4,3/4,1/4,2/4,1/4,0/4,0/4,0,0,0,0,None,Default,11,1/3,3/3,0/3,3/3,1/3,2/3,1/3,0
,298222345.sb3,13,1/4,1/4,0/4,4/4,2/4,1/4,1/4,0/4,3/4,0,0,0,1,None,Default,9,1/3,1/3,0/3,3/3,2/3,1/3,1/3,66
,273042674.sb3,31,4/4,4/4,4/4,4/4,4/4,2/4,4/4,1/4,4/4,0,0,14,10,None,Default,20,3/3,3/3,3/3,3/3,3/3,2/3,3/3,509
,276367982.sb3,17,1/4,1/4,1/4,4/4,4/4,1/4,4/4,0/4,1/4,0,3,1,1,None,Default,13,1/3,1/3,1/3,3/3,3/3,1/3,3/3,151
,291455130.sb3,25,4/4,4/4,3/4,2/4,3/4,2/4,4/4,0/4,3/4,0,5,7,1,None,Default,19,3/3,3/3,3/3,2/3,3/3,2/3,3/3,118
,294115679.sb3,18,1/4,4/4,0/4,4/4,4/4,2/4,1/4,1/4,1/4,3,2,0,1,None,Default,13,1/3,3/3,0/3,3/3,3/3,2/3,1/3,336
,262966175.sb3,25,4/4,3/4,3/4,3/4,2/4,2/4,4/4,1/4,3/4,2,0,2,1,None,Default,19,3/3,3/3,3/3,3/3,2/3,2/3,3/3,67
,304609718.sb3,18,1/4,4/4,0/4,3/4,4/4,1/4,3/4,0/4,2/4,0,3,3,1,None,Default,14,1/3,3/3,0/3,3/3,3/3,1/3,3/3,183
,293438598.sb3,32,4/4,4/4,4/4,4/4,4/4,2/4,4/4,2/4,4/4,2,0,7,2,None,Default,20,3/3,3/3,3/3,3/3,3/3,2/3,3/3,524
,288883707.sb3,22,1/4,1/4,4/4,0/4,4/4,2/4,4/4,2/4,4/4,0,5,1,11,None,Default,13,1/3,1/3,3/3,0/3,3/3,2/3,3/3,102
,295830570.sb3,21,1/4,2/4,4/4,2/4,2/4,2/4,4/4,3/4,1/4,0,0,0,0,None,Default,15,1/3,2/3,3/3,2/3,2/3,2/3,3/3,332
,302125099.sb3,28,3/4,4/4,4/4,4/4,2/4,2/4,4/4,1/4,4/4,2,1,0,1,None,Default,19,3/3,3/3,3/3,3/3,2/3,2/3,3/3,253
,304120141.sb3,12,1/4,2/4,0/4,0/4,2/4,2/4,1/4,1/4,3/4,0,3,1,1,None,Default,8,1/3,2/3,0/3,0/3,2/3,2/3,1/3,36
,281626552.sb3,16,1/4,4/4,0/4,2/4,3/4,1/4,4/4,0/4,1/4,0,3,5,2,None,Default,13,1/3,3/3,0/3,2/3,3/3,1/3,3/3,107
,266651972.sb3,16,1/4,4/4,0/4,4/4,2/4,1/4,1/4,0/4,3/4,4,0,0,1,None,Default,11,1/3,3/3,0/3,3/3,2/3,1/3,1/3,158
